Name,OnTerritoryOfMoscow,AdmArea,District,Longitude_WGS84,Latitude_WGS84,VestibuleType,NameOfStation,Line,CulturalHeritageSiteStatus,ModeOnEvenDays,ModeOnOddDays,FullFeaturedBPAAmount,LittleFunctionalBPAAmount,BPAAmount,RepairOfEscalators,ObjectStatus,global_id,geoData,longitude,latitude,x,y
"Бульвар Дмитрия Донского, вход-выход 7 в северный вестибюль",да,Юго-Западный административный округ,район Северное Бутово,37.576311,55.570289,подземный,Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,не является объектом культурного наследия,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00,3.0,3.0,6.0,[],действует,1773551,"{'coordinates': [37.576311, 55.570289], 'type': 'Point'}",37.576311,55.570289,4182975.806409684,7473343.641614579
"Бульвар Дмитрия Донского, вход-выход 6 в северный вестибюль",да,Юго-Западный административный округ,район Северное Бутово,37.577084,55.57014,подземный,Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,не является объектом культурного наследия,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00,3.0,3.0,6.0,[],действует,1773552,"{'coordinates': [37.577084, 55.57014], 'type': 'Point'}",37.577084,55.57014,4183061.8563760677,7473314.30534753
"Бунинская аллея, вход-выход в вестибюль",да,Юго-Западный административный округ,район Южное Бутово,37.5149399,55.5376805,наземный отдельностоящий,Бунинская аллея,Бутовская линия Лёгкого метро,объект культурного наследия регионального значения,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00,открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00,,3.0,3.0,[],действует,1773553,"{'coordinates': [37.5149399, 55.5376805], 'type': 'Point'}",37.5149399,55.5376805,4176144.0068082614,7466926.080342957
"Варшавская, вход-выход 1 в южный вестибюль",да,Южный административный округ,Нагорный район,37.61792,55.653075,подземный,Варшавская,Большая кольцевая линия,не является объектом культурного наследия,"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:53:20; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10","открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:10, по 2 пути в 05:53:20; последний поезд по 1 пути в 01:05:20, по 2 пути в 01:06:10",,3.0,3.0,[{'RepairOfEscalators': '26.10.2019-30.11.2022'}],временно закрыт,1773554,"{'coordinates': [37.61792, 55.653075], 'type': 'Point'}",37.61792,55.653075,4187607.699102102,7489660.426007324
"Варшавская, вход-выход 3 в северный вестибюль",да,Южный административный округ,Нагорный район,37.620706,55.653163,подземный,Варшавская,Большая кольцевая линия,не является объектом культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00",,,,[{'RepairOfEscalators': '26.10.2019-30.11.2022'}],временно закрыт,1773555,"{'coordinates': [37.620706, 55.653163], 'type': 'Point'}",37.620706,55.653163,4187917.8352034516,7489677.7887935545
"Калужская, вход-выход 1 в южный вестибюль",да,Юго-Западный административный округ,район Черёмушки,37.5402196,55.6563232,подземный,Калужская,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:40","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:40",2.0,3.0,5.0,[],действует,1773556,"{'coordinates': [37.5402196, 55.6563232], 'type': 'Point'}",37.5402196,55.6563232,4178958.130139668,7490301.335989434
"Калужская, вход-выход 10 в северный вестибюль",да,Юго-Западный административный округ,Обручевский район,37.5409869,55.6581538,подземный,Калужская,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:35","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:35",2.0,1.0,3.0,[],действует,1773557,"{'coordinates': [37.5409869, 55.6581538], 'type': 'Point'}",37.5409869,55.6581538,4179043.5455849534,7490662.5594109725
"Кантемировская, вход-выход 3 в южный вестибюль",да,Южный административный округ,район Царицыно,37.65712,55.634606,подземный,Кантемировская,Замоскворецкая линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:01","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:01",1.0,3.0,4.0,[],действует,1773558,"{'coordinates': [37.65712, 55.634606], 'type': 'Point'}",37.65712,55.634606,4191971.4231411978,7486017.2744660815
"Кантемировская, вход-выход 1 в южный вестибюль",да,Южный административный округ,район Царицыно,37.657574,55.635106,подземный,Кантемировская,Замоскворецкая линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:03","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:03",1.0,3.0,4.0,[],действует,1773559,"{'coordinates': [37.657574, 55.635106], 'type': 'Point'}",37.657574,55.635106,4192021.962190018,7486115.880670832
"Кантемировская, вход-выход 5 в северный вестибюль",да,Южный административный округ,район Царицыно,37.655215,55.636769,подземный,Кантемировская,Замоскворецкая линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:02","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:02",3.0,,3.0,[],действует,1773560,"{'coordinates': [37.655215, 55.636769], 'type': 'Point'}",37.655215,55.636769,4191759.359511236,7486443.853961094
"Калужская, вход-выход 7 в северный вестибюль",да,Юго-Западный административный округ,район Черёмушки,37.5418665,55.6578591,подземный,Калужская,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:41","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:41",2.0,1.0,3.0,[],действует,1773562,"{'coordinates': [37.5418665, 55.6578591], 'type': 'Point'}",37.5418665,55.6578591,4179141.4622090557,7490604.40654818
"Кантемировская, вход-выход 6 в северный вестибюль",да,Южный административный округ,район Царицыно,37.656052,55.636968,подземный,Кантемировская,Замоскворецкая линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:04","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:00, по 2 пути в 05:56:15; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:04",3.0,,3.0,[],действует,1773563,"{'coordinates': [37.656052, 55.636968], 'type': 'Point'}",37.656052,55.636968,4191852.5339250313,7486483.101246561
"Братиславская, вход-выход 6 в северный вестибюль",да,Юго-Восточный административный округ,район Марьино,37.7521499,55.6599107,подземный,Братиславская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00",,2.0,2.0,[],действует,1773564,"{'coordinates': [37.7521499, 55.6599107], 'type': 'Point'}",37.7521499,55.6599107,4202550.103219333,7491009.255854887
"Беговая, вход-выход 1 во 2-й вестибюль",да,Северный административный округ,Хорошёвский район,37.54459,55.7733859,подземный,Беговая,Таганско-Краснопресненская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45",2.0,3.0,5.0,[],действует,1773565,"{'coordinates': [37.54459, 55.7733859], 'type': 'Point'}",37.54459,55.7733859,4179444.640842231,7513434.831328282
"Беговая, вход-выход 2 во 2-й вестибюль",да,Северный административный округ,Хорошёвский район,37.5446657,55.774,подземный,Беговая,Таганско-Краснопресненская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45",2.0,3.0,5.0,[],действует,1773566,"{'coordinates': [37.5446657, 55.774], 'type': 'Point'}",37.5446657,55.774,4179453.067727684,7513556.370506872
"Беговая, вход-выход 5 в 1-й вестибюль",да,Центральный административный округ,Пресненский район,37.5488844,55.7732229,подземный,Беговая,Таганско-Краснопресненская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45",1.0,4.0,5.0,[],действует,1773567,"{'coordinates': [37.5488844, 55.7732229], 'type': 'Point'}",37.5488844,55.7732229,4179922.691263493,7513402.571617122
"Беговая, вход-выход 3 в 1-й вестибюль",да,Северный административный округ,Хорошёвский район,37.549137,55.774375,подземный,Беговая,Таганско-Краснопресненская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:43:45",1.0,4.0,5.0,[],действует,1773568,"{'coordinates': [37.549137, 55.774375], 'type': 'Point'}",37.549137,55.774375,4179950.810566868,7513630.589315341
"Белорусская, вход-выход 1 в западный вестибюль",да,Центральный административный округ,Тверской район,37.5826448,55.7753945,"наземный, встроенный в здание",Белорусская,Кольцевая линия,объект культурного наследия регионального значения,"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:34:15, по 2 пути в 05:52:45, последний поезд по 1 пути в 01:20:45, по 2 пути в 01:40:00","открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:20, по 2 пути в 05:54:00, последний поезд по 1 пути в 01:27:30, по 2 пути в 01:46:45",3.0,6.0,9.0,[{'RepairOfEscalators': '06.06.2022-08.06.2022'}],действует,1773569,"{'coordinates': [37.5826448, 55.7753945], 'type': 'Point'}",37.5826448,55.7753945,4183680.8818004704,7513832.369125682
"Белорусская, вход 6 в вестибюль",да,Центральный административный округ,Тверской район,37.58217,55.777269,"наземный, встроенный в здание",Белорусская,Замоскворецкая линия,выявленный объект культурного наследия,"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:55:25, по 2 пути в 05:36:25, последний поезд по 1 пути в 01:46:10, по 2 пути в 01:23:55","открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:55:25, по 2 пути в 05:36:25, последний поезд по 1 пути в 01:46:10, по 2 пути в 01:23:5",2.0,5.0,7.0,[],действует,1773570,"{'coordinates': [37.58217, 55.777269], 'type': 'Point'}",37.58217,55.777269,4183628.0273062414,7514203.38462128
"Белорусская, вход-выход 2 в восточный вестибюль",да,Центральный административный округ,Тверской район,37.585696,55.777448,подземный,Белорусская,Кольцевая линия,объект культурного наследия регионального значения,"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:34:15, по 2 пути в 05:52:45, последний поезд по 1 пути в 01:20:45, по 2 пути в 01:40:00","открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:20, по 2 пути в 05:54:00, последний поезд по 1 пути в 01:27:30, по 2 пути в 01:46:45",3.0,3.0,6.0,[],действует,1773571,"{'coordinates': [37.585696, 55.777448], 'type': 'Point'}",37.585696,55.777448,4184020.539830779,7514238.814615088
"Беляево, вход-выход 1 в южный вестибюль",да,Юго-Западный административный округ,район Коньково,37.525406,55.641896,подземный,Беляево,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25",2.0,2.0,4.0,[],действует,1773572,"{'coordinates': [37.525406, 55.641896], 'type': 'Point'}",37.525406,55.641896,4177309.0877308524,7487455.077526327
"Беляево, вход-выход 4 в южный вестибюль",да,Юго-Западный административный округ,район Коньково,37.5258884,55.64149,подземный,Беляево,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25",2.0,2.0,4.0,[],действует,1773573,"{'coordinates': [37.5258884, 55.64149], 'type': 'Point'}",37.5258884,55.64149,4177362.7882532114,7487374.9953129925
"Беляево, вход-выход 5 в северный вестибюль",да,Юго-Западный административный округ,район Коньково,37.5267264,55.643846,подземный,Беляево,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:09:10, по 2 пути в 05:57:35; последний поезд по 1 пути в 01:12:50, по 2 пути в 01:50:25",2.0,3.0,5.0,[],действует,1773574,"{'coordinates': [37.5267264, 55.643846], 'type': 'Point'}",37.5267264,55.643846,4177456.073986497,7487839.720414458
"Киевская, вход-выход 6 из вестибюля к пригородным поездам",да,Западный административный округ,район Дорогомилово,37.564427,55.742922,"наземный, встроенный в здание",Киевская,Арбатско-Покровская линия,выявленный объект культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:38:03","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:38:03",1.0,15.0,16.0,[{'RepairOfEscalators': '09.06.2022-15.06.2022'}],действует,1773577,"{'coordinates': [37.564427, 55.742922], 'type': 'Point'}",37.564427,55.742922,4181652.8855810976,7507407.991688417
"Киевская, вход-выход 3 в вестибюль",да,Западный административный округ,район Дорогомилово,37.567119,55.743792,подземный,Киевская,Кольцевая линия,объект культурного наследия регионального значения,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:51:20; последний поезд по 1 пути в 01:38:48, по 2 пути в 01:15:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:10, по 2 пути в 05:45:50; последний поезд по 1 пути в 01:27:30, по 2 пути в 01:22:00",,5.0,5.0,[],действует,1773579,"{'coordinates': [37.567119, 55.743792], 'type': 'Point'}",37.567119,55.743792,4181952.5576503123,7507580.043253773
"Киевская, вход-выход 4 в вестибюль",да,Западный административный округ,район Дорогомилово,37.56757,55.743743,подземный,Киевская,Кольцевая линия,объект культурного наследия регионального значения,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:51:40; последний поезд по 1 пути в 01:38:00, по 2 пути в 01:35:31","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:38:00",,5.0,5.0,[],действует,1773580,"{'coordinates': [37.56757, 55.743743], 'type': 'Point'}",37.56757,55.743743,4182002.7627406605,7507570.352891254
"Китай-город, вход-выход 1 в северный вестибюль",да,Центральный административный округ,Тверской район,37.630006,55.756247,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:10","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:10",,4.0,4.0,[],действует,1773581,"{'coordinates': [37.630006, 55.756247], 'type': 'Point'}",37.630006,55.756247,4188953.1064678296,7510043.569952195
