Name,ObjectType,AdmArea,District,Address,UNOM,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,StartDateTrading,geoData,global_id,longitude,latitude,x,y
"НТО 2-ой Автозаводский пр., вл. 3",киоск,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 2-й Автозаводский проезд, дом 3",180.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004710,Антарес,22.12.2017,22.12.2022,Результат аукциона (победитель),29.01.2018,"{'coordinates': [37.6582546127259, 55.7067515502925], 'type': 'Point'}",861538127,37.6582546127259,55.7067515502925,4192097.7276520925,7500258.300758921
"НТО Азовская ул., вл. 29-31",киоск,Юго-Западный административный округ,район Зюзино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Азовская улица, дом 29, корпус 1",213.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007887,АЛИМПИС,12.07.2021,12.07.2026,Результат аукциона (победитель),12.07.2021,"{'coordinates': [37.5985946105016, 55.6504390930591], 'type': 'Point'}",861538129,37.5985946105016,55.6504390930591,4185456.4065837585,7489140.368088811
"НТО Б. Академическая ул., вл.73",киоск,Северный административный округ,район Коптево,"город Москва, Большая Академическая улица, дом 73, корпус 1",293.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006855,АЛФАВИТ,15.04.2020,15.04.2025,Результат аукциона (победитель),01.06.2020,"{'coordinates': [37.5513497898467, 55.8435110354903], 'type': 'Point'}",861538130,37.5513497898467,55.8435110354903,4180197.137205835,7527325.99316653
"НТО Алтуфьевское ш., 56",киоск,Северо-Восточный административный округ,Алтуфьевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алтуфьевский, Алтуфьевское шоссе, дом 56",427.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006651,МАКС ТНП,12.11.2019,12.11.2024,Результат аукциона (победитель),28.11.2019,"{'coordinates': [37.587799, 55.880742], 'type': 'Point'}",861538132,37.587799,55.880742,4184254.644719917,7534711.299772866
"НТО Алтуфьевское ш., вл.88",киоск,Северо-Восточный административный округ,район Бибирево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, Алтуфьевское шоссе, дом 88",448.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008605,У Метро,31.01.2022,31.01.2027,Результат аукциона (победитель),31.01.2022,"{'coordinates': [37.5878615895091, 55.8996116648568], 'type': 'Point'}",861538134,37.5878615895091,55.8996116648568,4184261.6121522,7538457.07879309
"НТО Алтуфьевское ш., д.91 (выход из метро)",киоск,Северо-Восточный административный округ,район Лианозово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Алтуфьевское шоссе, дом 91",451.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007026,МАКС ТНП,27.08.2020,27.08.2025,Результат аукциона (победитель),08.09.2020,"{'coordinates': [37.5864009055509, 55.897046576751], 'type': 'Point'}",861538135,37.5864009055509,55.897046576751,4184099.009557763,7537947.781355365
"НТО Аминьевское шоссе, вл.13",киоск,Западный административный округ,район Очаково-Матвеевское,"город Москва, Аминьевское шоссе, дом 13",490.0,печать,с 1 января по 31 декабря,12,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-004384,НВ-ПРЕСС,09.11.2017,09.11.2022,Результат аукциона (победитель),11.12.2017,"{'coordinates': [37.4572251434898, 55.7032762007705], 'type': 'Point'}",861538136,37.4572251434898,55.7032762007705,4169719.229502288,7499571.6887072995
"НТО Амундсена ул., вл. 14-16",киоск,Северо-Восточный административный округ,район Свиблово,"город Москва, улица Амундсена, дом 16, корпус 1",516.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007227,АРЕАЛ,09.11.2020,09.11.2025,Результат аукциона (победитель),19.11.2020,"{'coordinates': [37.6556800761527, 55.8547308320322], 'type': 'Point'}",861538138,37.6556800761527,55.8547308320322,4191811.131551735,7529550.859000628
"НТО Анадырский проезд, вл. 17дробь1",киоск,Северо-Восточный административный округ,Бабушкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, Анадырский проезд, дом 17/1",577.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008545,ГКС,22.12.2021,22.12.2026,Результат аукциона (победитель),23.12.2021,"{'coordinates': [37.683104, 55.8644129999999], 'type': 'Point'}",861538139,37.683104,55.8644129999999,4194863.94878997,7531471.332238158
"НТО Ангарская ул., вл. 1",киоск,Северный административный округ,район Западное Дегунино,"город Москва, Ангарская улица, дом 1",613.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007150,АЛФАВИТ,19.10.2020,19.10.2025,Результат аукциона (победитель),19.10.2020,"{'coordinates': [37.510472, 55.871035], 'type': 'Point'}",861538141,37.510472,55.871035,4175646.6424553464,7532785.092021785
"НТО Ангарская ул., вл.13",киоск,Северный административный округ,район Западное Дегунино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, Ангарская улица, дом 13",624.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007834,АРЕАЛ,28.06.2021,28.06.2026,Результат аукциона (победитель),28.06.2021,"{'coordinates': [37.5146414650174, 55.8742335636128], 'type': 'Point'}",861538142,37.5146414650174,55.8742335636128,4176110.7851779633,7533419.7455361495
"НТО Андропова просп., вл.21",киоск,Южный административный округ,район Нагатинский Затон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21",700.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007421,ГКС,22.12.2020,22.12.2025,Результат аукциона (победитель),23.12.2020,"{'coordinates': [37.6647176361428, 55.6795383459788], 'type': 'Point'}",861538144,37.6647176361428,55.6795383459788,4192817.188127847,7494883.519952104
"НТО Андропова просп., вл.21",киоск,Южный административный округ,район Нагатинский Затон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21",700.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,срок действия договора завершен,НТО-09-02-004256,АРДПП,19.09.2017,19.09.2022,Результат аукциона (победитель),11.10.2017,"{'coordinates': [37.6652187580901, 55.6799143859947], 'type': 'Point'}",861538146,37.6652187580901,55.6799143859947,4192872.9727678457,7494957.7647601925
"НТО Андропова просп., вл.21",киоск,Южный административный округ,район Нагатинский Затон,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 21",700.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008694,АРЕАЛ,11.04.2022,11.04.2027,Результат аукциона (победитель),29.06.2022,"{'coordinates': [37.6650013470841, 55.6794938467707], 'type': 'Point'}",861538147,37.6650013470841,55.6794938467707,4192848.770685365,7494874.734138719
"НТО Андропова просп., вл. 30",киоск,Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 30",705.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007229,АРЕАЛ,09.11.2020,09.11.2025,Результат аукциона (победитель),09.12.2020,"{'coordinates': [37.6631263200876, 55.6791924757116], 'type': 'Point'}",861538148,37.6631263200876,55.6791924757116,4192640.043634891,7494815.232446636
"НТО Андропова пр-кт., вл. 32дробь37",киоск,Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 32/37",711.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008516,У Метро,13.12.2021,13.12.2026,Результат аукциона (победитель),18.02.2022,"{'coordinates': [37.6628165175022, 55.6777581509436], 'type': 'Point'}",861538149,37.6628165175022,55.6777581509436,4192605.5565688377,7494532.050453473
"НТО Л. Бабушкина ул., вл.31",киоск,Северо-Восточный административный округ,Бабушкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Лётчика Бабушкина, дом 31",1105.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007035,АЛИМПИС,15.09.2020,15.09.2025,Результат аукциона (победитель),23.09.2020,"{'coordinates': [37.675551738828, 55.8706108610532], 'type': 'Point'}",861538156,37.675551738828,55.8706108610532,4194023.2349219657,7532700.939023714
"НТО Багратионовский пр-д, (м,Фили)",киоск,Западный административный округ,район Филёвский Парк,"город Москва, Багратионовский проезд, дом 4",1133.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004682,Агентство Печати 41,21.12.2017,21.12.2022,Результат аукциона (победитель),,"{'coordinates': [37.5138909678161, 55.7466091158182], 'type': 'Point'}",861538157,37.5138909678161,55.7466091158182,4176027.2402116735,7508137.183583813
"НТО Бажова ул., д. 9",киоск,Северо-Восточный административный округ,район Ростокино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ростокино, улица Бажова, дом 9",1170.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007648,АЛИМПИС,19.04.2021,19.04.2026,Результат аукциона (победитель),27.04.2021,"{'coordinates': [37.6613547354515, 55.8346723544169], 'type': 'Point'}",861538158,37.6613547354515,55.8346723544169,4192442.8317353036,7525573.750457891
"НТО Байкальская ул., вл. 37",киоск,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Байкальская улица, дом 37",1244.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004855,КАП,20.02.2018,20.02.2023,Результат аукциона (победитель),02.03.2018,"{'coordinates': [37.814197, 55.817305], 'type': 'Point'}",861538160,37.814197,55.817305,4209457.154796533,7522131.882944013
"НТО Бауманская, вл. 33дробь2, стр. 3",киоск,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 33/2, строение 3",1297.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007328,ЮРКОНСАЛТИНГ,09.12.2020,09.12.2025,Результат аукциона (победитель),11.12.2020,"{'coordinates': [37.6795414255958, 55.7727605718057], 'type': 'Point'}",861538163,37.6795414255958,55.7727605718057,4194467.364821382,7513311.071897068
"НТО Барклая ул., вл. 11а",пресс-стенд,Западный административный округ,район Филёвский Парк,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 11",1457.0,печать,с 1 января по 31 декабря,1,договор на осуществление торговой деятельности,аннулирован,НТО-09-08-001542,У Метро,18.07.2016,18.07.2021,Результат аукциона (победитель),21.09.2016,"{'coordinates': [37.497542, 55.743744], 'type': 'Point'}",861538165,37.497542,55.743744,4174207.281439389,7507570.550653633
"НТО Бауманская, вл. 38, стр. 1",киоск,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Бауманская улица, дом 38, строение 1",2115561.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007378,АЛИМПИС,17.12.2020,17.12.2025,Результат аукциона (2-е место),17.12.2020,"{'coordinates': [37.678596517568, 55.771407125249], 'type': 'Point'}",861538168,37.678596517568,55.771407125249,4194362.1781408815,7513043.216511806
"НТО Протопоповский пер., вл. 18",киоск,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Протопоповский переулок, дом 16",1703.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007205,АЛИМПИС,27.10.2020,27.10.2025,Результат аукциона (победитель),10.11.2020,"{'coordinates': [37.640902, 55.779636], 'type': 'Point'}",861538169,37.640902,55.779636,4190166.0436395123,7514671.905010374
"НТО Генерала Белова ул., вл. 33дробь19",киоск,Южный административный округ,район Орехово-Борисово Северное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, улица Генерала Белова, дом 33/19",1715.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008555,МОДУЛЬ ОЙЛ,28.12.2021,28.12.2026,Результат аукциона (победитель),11.01.2022,"{'coordinates': [37.7217586220822, 55.612374482602], 'type': 'Point'}",861538171,37.7217586220822,55.612374482602,4199166.961636967,7481634.214605434
"НТО Беловежская ул., вл.1",киоск,Западный административный округ,Можайский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 1",1731.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007472,АРЕАЛ,30.12.2020,30.12.2025,Результат аукциона (победитель),31.12.2020,"{'coordinates': [37.4018117241382, 55.7151587518707], 'type': 'Point'}",861538173,37.4018117241382,55.7151587518707,4163550.6358769536,7501919.533311388
"НТО Белозерская ул., 9",киоск,Северо-Восточный административный округ,район Бибирево,"город Москва, Белозерская улица, дом 9",1777.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-000782,КАП,22.03.2016,22.03.2021,Результат аукциона (победитель),22.03.2016,"{'coordinates': [37.6138323365954, 55.8973633215287], 'type': 'Point'}",861538174,37.6138323365954,55.8973633215287,4187152.662493367,7538010.669109139
"НТО пр. Берингов, вл. 3",киоск,Северо-Восточный административный округ,район Свиблово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Берингов проезд, дом 3",1895.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006706,Азбука,12.12.2019,12.12.2024,Результат аукциона (победитель),13.01.2020,"{'coordinates': [37.659136607522, 55.8568708588175], 'type': 'Point'}",861538176,37.659136607522,55.8568708588175,4192195.910863677,7529975.295478382
"НТО Бескудниковский б-р, вл. 18 с последующим выводом на компенсационный участок",киоск,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 20, корпус 1",1940.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008353,У Метро,08.11.2021,08.11.2026,Результат аукциона (победитель),08.11.2021,"{'coordinates': [37.560371085147, 55.8644528834183], 'type': 'Point'}",861538177,37.560371085147,55.8644528834183,4181201.3832049603,7531479.244166811
"НТО Бескудниковский бульвар, вл. 40, корп. 1",киоск,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 40, корпус 1",1983.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008118,У Метро,09.09.2021,09.09.2026,Результат аукциона (победитель),09.09.2021,"{'coordinates': [37.549634139965, 55.8739082806835], 'type': 'Point'}",861538179,37.549634139965,55.8739082806835,4180006.1519346246,7533355.201066503
"НТО Бескудниковский бульвар, вл. 40, корп.3",киоск,Северный административный округ,Бескудниковский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Бескудниковский бульвар, дом 40, корпус 3",1985.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008490,У Метро,06.12.2021,06.12.2026,Результат аукциона (победитель),,"{'coordinates': [37.550806, 55.873816], 'type': 'Point'}",861538180,37.550806,55.873816,4180136.6027970025,7533336.890312345
"НТО Бескудниковский бульвар, вл. 55",киоск,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 55, корпус 1",2003.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008556,У Метро,28.12.2021,28.12.2026,Результат аукциона (победитель),01.02.2022,"{'coordinates': [37.5391216216763, 55.873145263977], 'type': 'Point'}",861538181,37.5391216216763,55.873145263977,4178835.903751772,7533203.801118707
"НТО Бестужевых ул., 13",киоск,Северо-Восточный административный округ,район Отрадное,"город Москва, улица Бестужевых, дом 13",2040.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007438,АРЕАЛ,28.12.2020,28.12.2025,Результат аукциона (победитель),12.01.2021,"{'coordinates': [37.6033093481284, 55.8701756974742], 'type': 'Point'}",861538183,37.6033093481284,55.8701756974742,4185981.2487755967,7532614.599594252
"НТО ул. Маршала Бирюзова, вл. 13 (в 25-ти метровой зоне)",киоск,Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 13",2125.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007846,АЛИМПИС,28.06.2021,28.06.2026,Результат аукциона (победитель),08.07.2021,"{'coordinates': [37.4947890515826, 55.7925717049623], 'type': 'Point'}",861538185,37.4947890515826,55.7925717049623,4173900.8246233836,7517232.8817022275
"НТО Бирюзова ул., вл.14",киоск,Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 14",2126.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006560,АЛФАВИТ,21.10.2019,21.10.2024,Результат аукциона (победитель),29.10.2019,"{'coordinates': [37.49241, 55.794244], 'type': 'Point'}",861538187,37.49241,55.794244,4173635.989812638,7517564.020336939
"НТО Маршала Бирюзова, вл. 17",киоск,Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 17",2128.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-006561,АЛФАВИТ,21.10.2019,21.10.2024,Результат аукциона (победитель),29.10.2019,"{'coordinates': [37.4925135992436, 55.7937808379701], 'type': 'Point'}",861538188,37.4925135992436,55.7937808379701,4173647.5224276823,7517472.306124141
"НТО Маршала Бирюзова, вл. 19",киоск,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 19",2130.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007842,АЛИМПИС,28.06.2021,28.06.2026,Результат аукциона (победитель),14.09.2021,"{'coordinates': [37.4910094128251, 55.7945044477752], 'type': 'Point'}",861538189,37.4910094128251,55.7945044477752,4173480.077161516,7517615.594047731
"НТО Маршала Бирюзова, вл. 20 к.1",киоск,Северо-Западный административный округ,район Щукино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 20, корпус 1",2131.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007953,МК-СЕРВИС,09.08.2021,09.08.2026,Результат аукциона (победитель),01.09.2021,"{'coordinates': [37.4905212943505, 55.795133509999], 'type': 'Point'}",861538191,37.4905212943505,55.795133509999,4173425.7400614773,7517740.161991037
"НТО Маршала Бирюзова, вл. 30",киоск,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 30",2144.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-006940,ИНВЕСТ ГРУПП,29.06.2020,29.06.2025,Результат аукциона (победитель),20.08.2020,"{'coordinates': [37.4850382343986, 55.7980171898623], 'type': 'Point'}",861538192,37.4850382343986,55.7980171898623,4172815.368619643,7518311.218807084
"НТО Бирюлевская ул., вл. 5",киоск,Южный административный округ,район Бирюлёво Восточное,"город Москва, Бирюлёвская улица, дом 5, корпус 1",2166.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004047,Амо-пресс,25.07.2017,25.07.2022,Результат аукциона (победитель),,"{'coordinates': [37.6629256803796, 55.599633989027], 'type': 'Point'}",861538193,37.6629256803796,55.599633989027,4192617.7085247636,7479123.479701051
"НТО Бирюлевская ул., вл. 13",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 13, корпус 1",2176.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-005468,Антарес,21.06.2018,21.06.2023,Результат аукциона (победитель),21.06.2018,"{'coordinates': [37.663060228993, 55.5965274024716], 'type': 'Point'}",861538194,37.663060228993,55.5965274024716,4192632.686407894,7478511.396669794
"НТО Бирюлевская ул., вл. 31",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 31, корпус 1",2196.0,печать,с 1 января по 31 декабря,12,договор на осуществление торговой деятельности,действует,НТО-09-02-007381,АЛИМПИС,17.12.2020,17.12.2025,Результат аукциона (2-е место),23.12.2020,"{'coordinates': [37.6643450421798, 55.5910852003215], 'type': 'Point'}",861538196,37.6643450421798,55.5910852003215,4192775.7111576125,7477439.249902031
"НТО Бирюлевская ул., вл. 31 к.1",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 31, корпус 1",2196.0,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-007824,АРЕАЛ,28.06.2021,28.06.2026,Результат аукциона (победитель),,"{'coordinates': [37.6642362685168, 55.5913895565625], 'type': 'Point'}",861538197,37.6642362685168,55.5913895565625,4192763.6025288366,7477499.20599875
"НТО Бирюлевская ул., вл. 41",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 41/7",2204.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-003352,Сейлс,27.02.2017,27.02.2022,Результат аукциона (победитель),,"{'coordinates': [37.665176683114, 55.5877695721226], 'type': 'Point'}",861538198,37.665176683114,55.5877695721226,4192868.289002931,7476786.123958461
"НТО Бирюлевская ул., вл. 45",киоск,Южный административный округ,район Бирюлёво Восточное,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Бирюлёвская улица, дом 45, корпус 1",2206.0,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007694,АРЕАЛ,17.05.2021,17.05.2026,Результат аукциона (победитель),19.05.2021,"{'coordinates': [37.6673630379351, 55.5852954320104], 'type': 'Point'}",861538199,37.6673630379351,55.5852954320104,4193111.672908309,7476298.793710216
